データ日付,終値,始値,高値,安値
"2023/12/08","32307.86","32600.47","32604.35","32205.38"
"2023/12/11","32791.80","32665.09","32933.08","32650.10"
"2023/12/12","32843.70","33107.65","33172.13","32800.24"
"2023/12/13","32926.35","32973.47","33104.47","32864.38"
"2023/12/14","32686.25","33032.30","33120.55","32515.04"
"2023/12/15","32970.55","32760.56","33122.33","32732.66"
"2023/12/18","32758.98","32769.23","32790.58","32541.23"
"2023/12/19","33219.39","32774.21","33219.39","32654.43"
"2023/12/20","33675.94","33467.32","33824.06","33467.32"
"2023/12/21","33140.47","33276.81","33337.84","33097.79"
"2023/12/22","33169.05","33257.95","33375.19","33151.70"
"2023/12/25","33254.03","33414.51","33414.51","33221.57"
"2023/12/26","33305.85","33295.68","33312.26","33181.36"
"2023/12/27","33681.24","33532.97","33755.75","33521.52"
"2023/12/28","33539.62","33477.47","33571.73","33411.24"
"2023/12/29","33464.17","33458.64","33652.71","33305.17"
"2024/01/04","33288.29","33193.05","33299.39","32693.18"
"2024/01/05","33377.42","33397.52","33568.04","33257.43"
"2024/01/09","33763.18","33704.83","33990.28","33600.32"
"2024/01/10","34441.72","33896.33","34539.02","33885.74"
"2024/01/11","35049.86","34871.33","35157.56","34849.57"
"2024/01/12","35577.11","35601.65","35839.65","35362.24"
"2024/01/15","35901.79","35634.12","36008.23","35544.32"
"2024/01/16","35619.18","35909.20","35955.68","35587.53"
"2024/01/17","35477.75","35850.18","36239.22","35476.52"
"2024/01/18","35466.17","35371.25","35728.09","35371.25"
"2024/01/19","35963.27","35913.72","36076.23","35790.07"
"2024/01/22","36546.95","36294.10","36571.80","36225.91"
"2024/01/23","36517.57","36605.30","36984.51","36436.07"
"2024/01/24","36226.48","36415.66","36471.39","36104.89"
"2024/01/25","36236.47","36213.14","36312.36","35912.54"
"2024/01/26","35751.07","36003.00","36060.40","35687.58"
"2024/01/29","36026.94","35814.29","36186.87","35813.77"
"2024/01/30","36065.86","36196.64","36249.03","36039.31"
"2024/01/31","36286.71","35747.89","36292.53","35704.58"
"2024/02/01","36011.46","36008.56","36146.36","35924.60"
"2024/02/02","36158.02","36249.99","36441.09","36083.61"
"2024/02/05","36354.16","36419.34","36452.62","36213.00"
"2024/02/06","36160.66","36249.08","36294.48","36065.98"
"2024/02/07","36119.92","36002.99","36195.50","35854.63"
"2024/02/08","36863.28","36258.84","36956.97","36206.20"
"2024/02/09","36897.42","36915.44","37287.26","36807.03"
"2024/02/13","37963.97","37248.36","38010.69","37184.10"
"2024/02/14","37703.32","37712.87","37825.85","37594.47"
"2024/02/15","38157.94","38017.83","38188.74","37935.36"
"2024/02/16","38487.24","38517.37","38865.06","38361.55"
"2024/02/19","38470.38","38473.41","38555.84","38281.70"
"2024/02/20","38363.61","38510.37","38742.33","38288.04"
"2024/02/21","38262.16","38191.97","38339.70","38095.15"
"2024/02/22","39098.68","38508.07","39156.97","38508.07"
"2024/02/26","39233.71","39320.64","39388.08","39181.03"
"2024/02/27","39239.52","39260.78","39426.29","39113.03"
"2024/02/28","39208.03","39189.22","39283.95","39075.47"
"2024/02/29","39166.19","38935.53","39250.12","38876.81"
"2024/03/01","39910.82","39254.69","39990.23","39224.64"
"2024/03/04","40109.23","40201.76","40314.64","40001.55"
"2024/03/05","40097.63","39881.73","40226.99","39840.34"
"2024/03/06","40090.78","39792.37","40147.77","39769.04"
"2024/03/07","39598.71","40331.06","40472.11","39518.40"
"2024/03/08","39688.94","39809.56","39989.33","39551.60"
"2024/03/11","38820.49","39232.14","39241.28","38496.66"
"2024/03/12","38797.51","38470.39","38841.80","38271.38"
"2024/03/13","38695.97","39059.95","39147.80","38452.57"
"2024/03/14","38807.38","38591.73","38840.33","38400.17"
"2024/03/15","38707.64","38548.16","38808.68","38519.94"
"2024/03/18","39740.44","38960.99","39769.11","38935.47"
"2024/03/19","40003.60","39622.58","40003.60","39407.50"
"2024/03/21","40815.66","40511.55","40823.32","40452.19"
"2024/03/22","40888.43","40942.88","41087.75","40714.14"
"2024/03/25","40414.12","40798.96","40837.18","40414.12"
"2024/03/26","40398.03","40345.04","40529.53","40280.85"
"2024/03/27","40762.73","40517.17","40979.36","40452.21"
"2024/03/28","40168.07","40324.42","40482.02","40054.06"
"2024/03/29","40369.44","40277.45","40521.71","40268.11"
"2024/04/01","39803.09","40646.70","40697.22","39706.45"
"2024/04/02","39838.91","39892.59","40151.05","39707.87"
"2024/04/03","39451.85","39503.72","39625.90","39217.04"
"2024/04/04","39773.14","39928.33","40243.02","39773.14"
"2024/04/05","38992.08","39237.39","39274.76","38774.24"
"2024/04/08","39347.04","39391.98","39617.36","39197.00"
"2024/04/09","39773.13","39496.95","39773.13","39476.13"
"2024/04/10","39581.81","39582.33","39708.70","39510.48"
"2024/04/11","39442.63","39090.68","39473.48","39065.31"
"2024/04/12","39523.55","39722.02","39774.82","39457.73"
"2024/04/15","39232.80","39056.93","39232.80","38820.95"
"2024/04/16","38471.20","38750.67","38764.82","38322.32"
"2024/04/17","37961.80","38587.47","38587.61","37961.80"
"2024/04/18","38079.70","37745.04","38216.75","37644.91"
"2024/04/19","37068.35","37724.47","37749.48","36733.06"
"2024/04/22","37438.61","37240.93","37511.80","37052.63"
"2024/04/23","37552.16","37797.06","37817.78","37397.27"
"2024/04/24","38460.08","37871.92","38460.08","37857.47"
"2024/04/25","37628.48","38065.91","38129.53","37604.23"
"2024/04/26","37934.76","37725.61","38097.54","37550.70"
"2024/04/30","38405.66","38312.66","38608.17","38182.11"
"2024/05/01","38274.05","38107.38","38433.34","38036.24"
"2024/05/02","38236.07","38004.01","38355.60","37958.19"
"2024/05/07","38835.10","38636.23","38863.14","38541.97"
"2024/05/08","38202.37","38677.57","38749.35","38159.85"
"2024/05/09","38073.98","38242.92","38429.81","38072.24"
"2024/05/10","38229.11","38361.79","38741.88","38126.91"
"2024/05/13","38179.46","38211.61","38273.40","37969.58"
"2024/05/14","38356.06","38287.99","38477.68","38084.71"
"2024/05/15","38385.73","38533.09","38816.60","38335.61"
"2024/05/16","38920.26","38645.96","38949.38","38513.33"
"2024/05/17","38787.38","38561.04","38842.49","38539.56"
"2024/05/20","39069.68","38761.71","39437.16","38703.70"
"2024/05/21","38946.93","39232.16","39346.15","38942.28"
"2024/05/22","38617.10","38823.91","38854.99","38592.94"
"2024/05/23","39103.22","38803.13","39129.47","38617.43"
"2024/05/24","38646.11","38506.03","38740.82","38367.70"
"2024/05/27","38900.02","38766.21","38900.02","38667.93"
"2024/05/28","38855.37","38879.15","38981.97","38756.13"
"2024/05/29","38556.87","38880.50","39141.99","38524.24"
"2024/05/30","38054.13","38112.77","38138.03","37617.00"
"2024/05/31","38487.90","38173.22","38526.93","38087.61"
"2024/06/03","38923.03","38734.95","39032.50","38734.95"
"2024/06/04","38837.46","38702.54","38895.06","38591.79"
"2024/06/05","38490.17","38654.09","38656.41","38343.98"
"2024/06/06","38703.51","38841.66","39011.93","38693.50"
"2024/06/07","38683.93","38597.55","38747.27","38560.85"
"2024/06/10","39038.16","38689.78","39081.54","38689.78"
"2024/06/11","39134.79","39175.59","39336.66","39074.88"
"2024/06/12","38876.71","38865.15","38945.99","38809.36"
"2024/06/13","38720.47","39182.06","39252.44","38689.79"
"2024/06/14","38814.56","38587.57","39025.70","38554.75"
"2024/06/17","38102.44","38440.98","38442.70","37950.20"
"2024/06/18","38482.11","38433.48","38519.02","38332.89"
"2024/06/19","38570.76","38653.91","38797.97","38453.41"
"2024/06/20","38633.02","38410.32","38637.62","38263.08"
"2024/06/21","38596.47","38608.66","38795.68","38532.13"
"2024/06/24","38804.65","38497.42","38905.47","38416.07"
"2024/06/25","39173.15","38833.90","39215.07","38758.07"
"2024/06/26","39667.07","39364.73","39788.63","39233.56"
"2024/06/27","39341.54","39434.47","39439.24","39193.51"
"2024/06/28","39583.08","39593.01","39783.70","39485.73"
"2024/07/01","39631.06","39839.82","39942.69","39537.10"
"2024/07/02","40074.69","39543.61","40113.48","39457.62"
"2024/07/03","40580.76","40225.83","40694.21","40172.85"
"2024/07/04","40913.65","40747.59","40971.23","40604.15"
"2024/07/05","40912.37","41009.36","41100.13","40746.89"
"2024/07/08","40780.70","40863.14","41112.24","40780.70"
"2024/07/09","41580.17","40953.41","41769.35","40942.44"
"2024/07/10","41831.99","41444.33","41889.16","41430.38"
"2024/07/11","42224.02","42343.72","42426.77","42102.46"
"2024/07/12","41190.68","41668.86","41754.76","41188.29"
"2024/07/16","41275.08","41366.79","41520.07","41220.65"
"2024/07/17","41097.69","41416.18","41466.45","41054.72"
"2024/07/18","40126.35","40521.71","40587.63","40104.22"
"2024/07/19","40063.79","39965.91","40212.90","39824.58"
"2024/07/22","39599.00","39947.95","39973.20","39519.39"
"2024/07/23","39594.39","39864.09","39927.89","39519.91"
"2024/07/24","39154.85","39336.74","39643.27","39096.50"
"2024/07/25","37869.51","38524.20","38557.79","37825.58"
"2024/07/26","37667.41","37792.87","38105.96","37611.19"
"2024/07/29","38468.63","38139.12","38719.70","38010.01"
"2024/07/30","38525.95","38241.35","38531.16","38076.70"
"2024/07/31","39101.82","38140.77","39188.37","37954.38"
"2024/08/01","38126.33","38781.56","38781.56","37737.88"
"2024/08/02","35909.70","37444.17","37471.52","35880.15"
"2024/08/05","31458.42","35249.36","35301.18","31156.12"
"2024/08/06","34675.46","32077.33","34911.80","32077.33"
"2024/08/07","35089.62","34122.35","35849.77","33739.46"
"2024/08/08","34831.15","34645.79","35379.65","34207.16"
"2024/08/09","35025.00","35272.34","35671.31","34445.57"
"2024/08/13","36232.51","35490.58","36232.51","35476.79"
"2024/08/14","36442.43","36535.60","36683.89","36074.71"
"2024/08/15","36726.64","36381.40","36885.16","36381.40"
"2024/08/16","38062.67","37304.93","38143.55","37304.93"
"2024/08/19","37388.62","37863.76","38125.27","37318.04"
"2024/08/20","38062.92","37847.85","38236.39","37738.30"
"2024/08/21","37951.80","37653.34","38026.02","37605.83"
"2024/08/22","38211.01","38033.78","38408.19","37883.86"
"2024/08/23","38364.27","38278.18","38424.27","38053.47"
"2024/08/26","38110.22","38156.41","38204.81","37825.31"
"2024/08/27","38288.62","38066.31","38365.64","37911.32"
"2024/08/28","38371.76","38221.38","38399.91","38141.49"
"2024/08/29","38362.53","38119.95","38401.15","37970.20"
"2024/08/30","38647.75","38388.04","38669.79","38316.87"
"2024/09/02","38700.87","39025.31","39080.64","38476.51"
"2024/09/03","38686.31","38745.76","38967.56","38581.55"
"2024/09/04","37047.61","38039.91","38080.02","36879.33"
"2024/09/05","36657.09","36536.25","37099.96","36359.23"
"2024/09/06","36391.47","36815.00","36898.28","36235.61"
"2024/09/09","36215.75","35805.82","36248.12","35247.87"
"2024/09/10","36159.16","36386.12","36537.03","36001.58"
"2024/09/11","35619.77","36029.90","36056.87","35253.43"
"2024/09/12","36833.27","36185.62","36902.21","36172.26"
"2024/09/13","36581.76","36882.41","36887.40","36441.34"
"2024/09/17","36203.22","36601.93","36663.18","35828.54"
"2024/09/18","36380.17","36546.04","36675.07","36127.45"
"2024/09/19","37155.33","36958.93","37394.52","36958.93"
"2024/09/20","37723.91","37714.07","37974.72","37654.11"
"2024/09/24","37940.59","38171.36","38427.15","37902.99"
"2024/09/25","37870.26","37947.35","38109.24","37868.84"
"2024/09/26","38925.63","38266.79","38925.63","38240.65"
"2024/09/27","39829.56","39108.27","39829.56","38917.98"
"2024/09/30","37919.55","39117.83","39126.36","37797.91"
"2024/10/01","38651.97","38232.47","38718.13","38232.47"
"2024/10/02","37808.76","38136.20","38213.54","37651.07"
"2024/10/03","38552.06","38459.13","38856.75","38457.62"
"2024/10/04","38635.62","38594.73","38735.29","38501.82"
"2024/10/07","39332.74","39239.92","39560.78","39195.93"
"2024/10/08","38937.54","39021.13","39117.09","38817.54"
"2024/10/09","39277.96","39385.49","39456.28","39115.63"
"2024/10/10","39380.89","39575.80","39616.59","39282.19"
"2024/10/11","39605.80","39636.87","39668.93","39415.26"
"2024/10/15","39910.55","40047.15","40257.34","39910.55"
"2024/10/16","39180.30","39362.63","39362.63","39062.85"
"2024/10/17","38911.19","39263.82","39299.74","38911.19"
"2024/10/18","38981.75","39092.47","39186.64","38893.52"
"2024/10/21","38954.60","38960.20","39119.67","38775.59"
"2024/10/22","38411.96","38933.60","38995.03","38200.82"
"2024/10/23","38104.86","38397.28","38514.33","37987.62"
"2024/10/24","38143.29","37804.52","38320.39","37712.19"
"2024/10/25","37913.92","37954.78","38028.14","37713.00"
"2024/10/28","38605.53","37757.95","38740.17","37757.95"
"2024/10/29","38903.68","38524.30","38903.68","38416.85"
"2024/10/30","39277.39","39102.89","39417.88","39094.30"
"2024/10/31","39081.25","39179.72","39249.21","38832.21"
"2024/11/01","38053.67","38504.35","38512.83","37946.66"
"2024/11/05","38474.90","38274.22","38620.19","38159.73"
"2024/11/06","39480.67","38677.95","39664.53","38662.17"
"2024/11/07","39381.41","39745.23","39884.01","39020.22"
"2024/11/08","39500.37","39783.45","39818.41","39377.87"
"2024/11/11","39533.32","39417.21","39598.74","39315.61"
"2024/11/12","39376.09","39642.78","39866.72","39137.89"
"2024/11/13","38721.66","39317.15","39377.24","38600.26"
"2024/11/14","38535.70","38911.04","39084.44","38535.70"
"2024/11/15","38642.91","38749.56","39101.64","38642.91"
"2024/11/18","38220.85","38259.59","38548.30","38150.39"
"2024/11/19","38414.43","38396.72","38560.10","38246.36"
"2024/11/20","38352.34","38475.70","38520.45","38180.15"
"2024/11/21","38026.17","38352.87","38374.69","37945.21"
"2024/11/22","38283.85","38146.98","38420.63","38085.13"
"2024/11/25","38780.14","38679.93","39053.64","38672.17"
"2024/11/26","38442.00","38596.76","38596.76","38020.08"
"2024/11/27","38134.97","38327.86","38332.45","37988.99"
"2024/11/28","38349.06","37935.94","38478.32","37801.62"
"2024/11/29","38208.03","38205.08","38270.06","37986.97"
"2024/12/02","38513.02","38216.95","38552.41","37958.55"
"2024/12/03","39248.86","38748.65","39427.37","38746.05"
"2024/12/04","39276.39","39354.00","39417.08","39062.03"
"2024/12/05","39395.60","39610.43","39632.30","39323.04"
"2024/12/06","39091.17","39371.56","39468.47","38940.44"
"2024/12/09","39160.50","39332.55","39332.55","38972.78"
"2024/12/10","39367.58","39375.49","39465.14","39171.69"
"2024/12/11","39372.23","39357.77","39401.93","39112.80"
"2024/12/12","39849.14","39849.97","40091.55","39827.59"
"2024/12/13","39470.44","39624.05","39734.99","39247.41"
"2024/12/16","39457.49","39551.22","39632.17","39371.42"
"2024/12/17","39364.68","39589.65","39796.22","39364.68"
"2024/12/18","39081.71","39176.88","39382.69","39081.71"
"2024/12/19","38813.58","38522.27","38913.07","38355.52"
"2024/12/20","38701.90","38950.28","39039.68","38701.90"
"2024/12/23","39161.34","39040.72","39210.17","38847.13"
"2024/12/24","39036.85","39210.23","39245.75","38995.76"
"2024/12/25","39130.43","39168.52","39180.59","38927.16"
"2024/12/26","39568.06","39129.31","39592.28","39110.92"
"2024/12/27","40281.16","39672.15","40398.23","39669.39"
"2024/12/30","39894.54","40325.78","40325.78","39864.46"
"2025/01/06","39307.05","39945.42","39993.50","39232.78"
"2025/01/07","40083.30","39584.36","40288.80","39584.36"
"2025/01/08","39981.06","39879.36","40105.72","39705.81"
"2025/01/09","39605.09","39888.91","39930.07","39385.05"
"2025/01/10","39190.40","39550.25","39591.46","39166.05"
"2025/01/14","38474.30","39010.96","39054.35","38305.91"
"2025/01/15","38444.58","38721.61","38774.99","38316.01"
"2025/01/16","38572.60","38732.65","38932.54","38426.20"
"2025/01/17","38451.46","38454.10","38503.94","38055.68"
"2025/01/20","38902.50","38671.77","39032.93","38671.77"
"2025/01/21","39027.98","39163.53","39238.21","38643.84"
"2025/01/22","39646.25","39355.22","39694.57","39332.63"
"2025/01/23","39958.87","39810.06","40036.07","39677.22"
"2025/01/24","39931.98","40060.49","40279.79","39806.69"
"2025/01/27","39565.80","40127.74","40255.68","39520.79"
"2025/01/28","39016.87","39400.02","39448.55","38886.05"
"2025/01/29","39414.78","39273.80","39448.24","39129.14"
"2025/01/30","39513.97","39302.85","39600.93","39221.36"
"2025/01/31","39572.49","39574.38","39681.82","39458.95"
"2025/02/03","38520.09","38932.66","38948.61","38401.82"
"2025/02/04","38798.37","39078.66","39192.51","38590.96"
"2025/02/05","38831.48","38979.21","39118.95","38682.18"
"2025/02/06","39066.53","38977.58","39190.13","38851.51"
"2025/02/07","38787.02","38907.76","39007.94","38753.20"
"2025/02/10","38801.17","38736.37","38895.74","38606.32"
"2025/02/12","38963.70","39049.12","39102.65","38794.24"
"2025/02/13","39461.47","39225.50","39581.47","39112.17"
"2025/02/14","39149.43","39419.25","39543.93","39133.94"
"2025/02/17","39174.25","39094.09","39238.75","39021.23"
"2025/02/18","39270.40","39187.99","39508.55","39151.71"
"2025/02/19","39164.61","39230.62","39298.05","38994.70"
"2025/02/20","38678.04","38942.91","38967.01","38468.72"
"2025/02/21","38776.94","38523.07","38808.81","38456.53"
"2025/02/25","38237.79","38359.67","38485.95","38131.79"
"2025/02/26","38142.37","38143.68","38175.24","37742.76"
"2025/02/27","38256.17","38251.11","38369.96","38061.94"
"2025/02/28","37155.50","37853.48","37925.28","36840.12"
"2025/03/03","37785.47","37617.50","37827.62","37372.26"
"2025/03/04","37331.18","37532.01","37587.49","36816.16"
"2025/03/05","37418.24","37345.74","37606.34","37178.72"
"2025/03/06","37704.93","37654.95","37874.38","37580.88"
"2025/03/07","36887.17","37198.30","37221.65","36813.62"
"2025/03/10","37028.27","36972.59","37113.48","36705.02"
"2025/03/11","36793.11","36584.37","36793.11","35987.13"
"2025/03/12","36819.09","36763.10","36956.33","36658.86"
"2025/03/13","36790.03","37081.64","37326.27","36776.94"
"2025/03/14","37053.10","36606.78","37154.39","36594.04"
"2025/03/17","37396.52","37453.83","37563.27","37377.55"
"2025/03/18","37845.42","37868.57","38004.20","37822.87"
"2025/03/19","37751.88","37839.39","38128.58","37751.88"
"2025/03/21","37677.06","37619.37","37968.02","37619.37"
"2025/03/24","37608.49","37841.68","37841.68","37608.49"
"2025/03/25","37780.54","37953.15","38115.65","37686.26"
"2025/03/26","38027.29","38106.66","38220.69","37873.28"
"2025/03/27","37799.97","37750.66","37859.06","37556.75"
"2025/03/28","37120.33","37357.52","37359.95","36864.93"
"2025/03/31","35617.56","36440.18","36440.18","35541.72"
"2025/04/01","35624.48","35961.19","36052.54","35537.86"
"2025/04/02","35725.87","35751.02","35778.90","35426.33"
"2025/04/03","34735.93","35041.67","35044.73","34102.00"
"2025/04/04","33780.58","34304.66","34320.11","33259.76"
"2025/04/07","31136.58","33154.97","33158.87","30792.74"
"2025/04/08","33012.58","31729.11","33257.16","31703.69"
"2025/04/09","31714.03","32529.23","32565.84","31258.18"
"2025/04/10","34609.00","32321.21","34639.39","32320.66"
"2025/04/11","33585.58","33951.25","33953.29","32626.58"
"2025/04/14","33982.36","34006.37","34325.59","33887.70"
"2025/04/15","34267.54","34349.01","34459.00","34266.31"
"2025/04/16","33920.40","34249.82","34329.27","33658.47"
"2025/04/17","34377.60","33987.01","34379.13","33931.53"
"2025/04/18","34730.28","34353.88","34758.97","34224.57"
"2025/04/21","34279.92","34556.23","34610.60","34216.98"
"2025/04/22","34220.60","34111.14","34340.57","34109.85"
"2025/04/23","34868.63","34787.93","35142.12","34682.28"
"2025/04/24","35039.15","35194.71","35287.95","34960.65"
"2025/04/25","35705.74","35387.67","35835.28","35337.98"
"2025/04/28","35839.99","35962.80","36075.26","35773.49"
"2025/04/30","36045.38","35946.88","36056.52","35793.33"
"2025/05/01","36452.30","36197.04","36544.15","36040.05"
"2025/05/02","36830.69","36636.55","36976.51","36606.58"
"2025/05/07","36779.66","36903.66","36942.38","36731.39"
"2025/05/08","36928.63","36863.38","36977.35","36606.71"
"2025/05/09","37503.33","37332.57","37557.41","37219.03"
"2025/05/12","37644.26","37697.28","37726.44","37417.39"
"2025/05/13","38183.26","38149.53","38494.06","38124.20"
"2025/05/14","38128.13","38199.03","38325.88","37851.80"
"2025/05/15","37755.51","37832.36","37876.84","37633.36"
"2025/05/16","37753.72","37748.58","37786.43","37479.21"
"2025/05/19","37498.63","37572.36","37656.23","37445.93"
"2025/05/20","37529.49","37723.60","37921.81","37455.70"
"2025/05/21","37298.98","37590.15","37659.94","37298.98"
"2025/05/22","36985.87","36931.89","37100.45","36855.83"
"2025/05/23","37160.47","37161.74","37373.91","37111.63"
"2025/05/26","37531.53","37209.26","37531.53","37167.01"
"2025/05/27","37724.11","37523.37","37769.05","37411.68"
"2025/05/28","37722.40","38094.79","38178.73","37709.71"
"2025/05/29","38432.98","38046.97","38454.07","38035.32"
"2025/05/30","37965.10","37912.49","38114.47","37748.17"
"本資料は日経の著作物であり、本資料の全部又は一部を、いかなる形式によっても日経に無断で複写、複製、転載または流布することができません。"
